key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
2010030|저기 그날 밤은…|Hey... about that night...|Hey... about that night...|Hey... about that night...|Hey... about that night...|Hey... about that night...|Hey... about that night...|Hey... about that night...|Hey... about that night...|Эй... о той ночи...
2010031|맞아요. 덥기도 했지만 섬이라서 그런지 벌레도 많았죠.\n하지만 야전에서 밤을 새워 본 건 처음이라 재밌었어요.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Yes. It was hot, but being an island, there were so many bugs.\nBut it was my first night combat, and fighting all night was pretty fun.|Да. Жалко, что на этом острове так много насекомых.\nЭто мой первый ночной бой.
2010032|에?|What?|What?|What?|What?|What?|What?|What?|What?|Что?
2010033|?? 왜 그러세요?|?? What's up?|?? What's up?|?? What's up?|?? What's up?|?? What's up?|?? What's up?|?? What's up?|?? What's up?|...Что не так?
2010034|섬? 야전? 무슨 말을 하는 거야?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Island? Night combat? What are you talking about?|Остров? Ночной бой? О чём ты говоришь?
2010035|[00DEFF]{0}[-]님이야말로 무슨 말씀이세요?\n당연히 피치 섬 때의 일이죠.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|And what are you talking about, [00DEFF]{0}[-]?\nOf course I'm talking about the time on Pitch Island.|А вы о чём?\nЯ говорю о сражении на острове Питч, естественно.
2010036|피치 섬이면.. 얼마 전 작전 때의?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Pitch Island... Our mission a few days ago?|Остров Питч... Наше задание несколько дней назад?
2010037|네.|Yes.|Yes.|Yes.|Yes.|Yes.|Yes.|Yes.|Yes.|Да.
2010038|................|................|................|................|................|................|................|................|................|...
2010039|???|???|???|???|???|???|???|???|???|???
2010040|뭐야~~~!!!!|What then?|What then?|What then?|What then?|What then?|What then?|What then?|What then?|Что?!
2010041|꺅! 뭐.. 뭔가요?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*Scream~! What? What are you talking about?|*кричит* О чём вы подумали?
2010042|헷갈렸잖아!|I was confused.|I was confused.|I was confused.|I was confused.|I was confused.|I was confused.|I was confused.|I was confused.|Я запутался.
2010043|네? 뭐가요?|Sir? About what?|Sir? About what?|Sir? About what?|Sir? About what?|Sir? About what?|Sir? About what?|Sir? About what?|Sir? About what?|О чём вы подумали?
2010044|....아무것도 아냐 것보다 무슨 일이지? 하나자와..|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|.... never mind. Anyway, why are you here? Hanazawa...|...Неважно. В любом случае, почему ты здесь, Ханазава?
2010045|레나에요!|Lena!|Lena!|Lena!|Lena!|Lena!|Lena!|Lena!|Lena!|Лена!
2010046|..... 하나자와 레나 상사.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|..... First Sergeant Hanazawa Lena.|...Первый сержант Лена Ханазава.
2010047|풀네임 싫어요! 계급도 필요 없어요.\n그냥 ‘레나’라고 불러 주세요.|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|I don't like full name! I don't need rank.\nCan you just call me Lena, please?|Я не люблю полное имя! Мне не нужны звания.\nЯ просто Лена, хорошо?
2010048|여신의 키스가 여러모로 특수하긴 하지만 엄연히 군대라고 여기…|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|I know Goddess Kiss is a special team in many ways, but this still is an army and...|Я знаю, что «Поцелуй Богини» — особый отряд, но это всё же армия...
2010049|흥! 그런 건 레나랑은 아무런 상관이 없는 이야기라고요.|Humph! I don't care.|Humph! I don't care.|Humph! I don't care.|Humph! I don't care.|Humph! I don't care.|Humph! I don't care.|Humph! I don't care.|Humph! I don't care.|Хм! Мне всё равно.
2010050|........\n(참자. 참아...)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|........\n(Patience. Be patient!)|...\n(Терпение, терпение!)
2010051|알았으니까. 용건을 말해.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Alright. So tell me why you're here.|Хорошо. Так почему ты здесь?
2010052|네? 용건?|Sir? Why am I here?|Sir? Why am I here?|Sir? Why am I here?|Sir? Why am I here?|Sir? Why am I here?|Sir? Why am I here?|Sir? Why am I here?|Sir? Why am I here?|Почему я здесь?
2010053|용건이 있어 온 걸 거잖아?|Yeah! You must came here for something?|Yeah! You must came here for something?|Yeah! You must came here for something?|Yeah! You must came here for something?|Yeah! You must came here for something?|Yeah! You must came here for something?|Yeah! You must came here for something?|Yeah! You must came here for something?|Да! Ты пришла сюда за чем-то?
